title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
How to Learn Online,Learn essential strategies for successful online learning,124980,Self-paced on your time,Introductory,Education & Teacher Training,English,2,49,Low
Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.",293864,Self-paced on your time,Introductory,Computer Science,English,7,49,Low
CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,2442271,Self-paced on your time,Introductory,Computer Science,English,12,90,Medium
The Analytics Edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.",129555,Instructor-led on a course schedule,Intermediate,Data Analysis & Statistics,English,13,199,High
Marketing Analytics: Marketing Measurement Strategy,This course is part of a MicroMasters® Program,81140,Self-paced on your time,Introductory,Computer Science,English,4,249,High
Introduction to Project Management,Learn the principles of project management and apply them in your own work and life.,301793,Self-paced on your time,Introductory,Business & Management,English,6,199,High
Leading High-Performing Teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.",32847,Self-paced on your time,Intermediate,Communication,English,10,5,Low
The Foundations of Happiness at Work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,67073,Self-paced on your time,Introductory,Business & Management,English,4,199,High
"Managing Study, Stress and Mental Health at University","Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.",23061,Self-paced on your time,Introductory,Health & Safety,English,2,49,Low
Six Sigma: Define and Measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.",92411,Self-paced on your time,Introductory,Business & Management,English,8,99,Medium
Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,66835,Self-paced on your time,Introductory,Math,English,7,49,Low
Chasing your Dream: How to End Procrastination and Get a Job You Love,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.",44711,Self-paced on your time,Introductory,Communication,English,5,49,Low
Bitcoin and Cryptocurrencies,This course is part of a Professional Certificate,83398,Self-paced on your time,Introductory,Computer Science,English,6,99,Medium
English Grammar and Style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,0,Instructor-led on a course schedule,Introductory,Humanities,English,8,99,Medium
Ethics in Action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,6366,Self-paced on your time,Intermediate,Ethics,English,10,49,Low
Introduction to FinTech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.",72767,Self-paced on your time,Introductory,Economics & Finance,English,6,199,High
Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.",528782,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!",228809,Self-paced on your time,Introductory,Data Analysis & Statistics,English,5,39,Low
The Science of Beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.",39085,Self-paced on your time,Introductory,Food & Nutrition,English,6,49,Low
Strategic Social Media Marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,103640,Instructor-led on a course schedule,Advanced,Business & Management,English,6,399,High
CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,258006,Self-paced on your time,Introductory,Computer Science,English,7,199,High
CS50's Introduction to Game Development,This course is part of a Professional Certificate,346748,Self-paced on your time,Intermediate,Computer Science,English,12,149,Medium
Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,320225,Self-paced on your time,Introductory,Humanities,English,8,99,Medium
CS50's Web Programming with Python and JavaScript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.",698950,Self-paced on your time,Intermediate,Computer Science,English,12,90,Medium
Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",414181,Self-paced on your time,Intermediate,Business & Management,English,8,125,Medium
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,380167,Self-paced on your time,Introductory,Biology & Life Sciences,English,5,99,Medium
Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,392588,Self-paced on your time,Introductory,Humanities,English,12,99,Medium
Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,276209,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Child Protection: Children's Rights in Theory and Practice,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.",212453,Self-paced on your time,Introductory,Social Sciences,English,16,99,Medium
IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",1103777,Self-paced on your time,Introductory,Communication,English,8,99,Medium
The Architectural Imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,406181,Self-paced on your time,Introductory,Architecture,English,10,99,Medium
TOEFL® Test Preparation: The Insider’s Guide,Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,1022489,Self-paced on your time,Introductory,Communication,English,6,49,Low
Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.",257600,Self-paced on your time,Intermediate,Medicine,English,15,199,High
Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,262183,Self-paced on your time,Intermediate,Computer Science,English,12,99,Medium
Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",140782,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
Basic Spanish 1: Getting Started,"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.",400169,Self-paced on your time,Introductory,Communication,English,7,40,Low
The Health Effects of Climate Change,"Learnhow global warming impacts human health, and the wayswe can diminish those impacts.",110024,Self-paced on your time,Introductory,Environmental Studies,English,7,99,Medium
